Pokemon Name,Type 1,Type 2,hp,attack,defense,special attack,special defense,speed
simipour,water,,75,98,63,98,63,101
munna,psychic,,76,25,45,67,55,24
musharna,psychic,,116,55,85,107,95,29
pidove,normal,flying,50,55,50,36,30,43
tranquill,normal,flying,62,77,62,50,42,65
unfezant,normal,flying,80,115,80,65,55,93
blitzle,electric,,45,60,32,50,32,76
zebstrika,electric,,75,100,63,80,63,116
roggenrola,rock,,55,75,85,25,25,15
boldore,rock,,70,105,105,50,40,20
gigalith,rock,,85,135,130,60,80,25
woobat,psychic,flying,65,45,43,55,43,72
swoobat,psychic,flying,67,57,55,77,55,114
drilbur,ground,,60,85,40,30,45,68
excadrill,ground,steel,110,135,60,50,65,88
audino,normal,,103,60,86,60,86,50
timburr,fighting,,75,80,55,25,35,35
gurdurr,fighting,,85,105,85,40,50,40
conkeldurr,fighting,,105,140,95,55,65,45
tympole,water,,50,50,40,50,40,64
palpitoad,water,ground,75,65,55,65,55,69
seismitoad,water,ground,105,95,75,85,75,74
throh,fighting,,120,100,85,30,85,45
sawk,fighting,,75,125,75,30,75,85
sewaddle,bug,grass,45,53,70,40,60,42
swadloon,bug,grass,55,63,90,50,80,42
leavanny,bug,grass,75,103,80,70,80,92
venipede,bug,poison,30,45,59,30,39,57
whirlipede,bug,poison,40,55,99,40,79,47
scolipede,bug,poison,60,100,89,55,69,112
cottonee,grass,fairy,40,27,60,37,50,66
whimsicott,grass,fairy,60,67,85,77,75,116
petilil,grass,,45,35,50,70,50,30
lilligant,grass,,70,60,75,110,75,90
basculin-red-striped,water,,70,92,65,80,55,98
sandile,ground,dark,50,72,35,35,35,65
krokorok,ground,dark,60,82,45,45,45,74
krookodile,ground,dark,95,117,80,65,70,92
darumaka,fire,,70,90,45,15,45,50
darmanitan-standard,fire,,105,140,55,30,55,95
maractus,grass,,75,86,67,106,67,60
dwebble,bug,rock,50,65,85,35,35,55
crustle,bug,rock,70,105,125,65,75,45
scraggy,dark,fighting,50,75,70,35,70,48
scrafty,dark,fighting,65,90,115,45,115,58
sigilyph,psychic,flying,72,58,80,103,80,97
yamask,ghost,,38,30,85,55,65,30
cofagrigus,ghost,,58,50,145,95,105,30
tirtouga,water,rock,54,78,103,53,45,22
carracosta,water,rock,74,108,133,83,65,32
archen,rock,flying,55,112,45,74,45,70
archeops,rock,flying,75,140,65,112,65,110
trubbish,poison,,50,50,62,40,62,65
garbodor,poison,,80,95,82,60,82,75
zorua,dark,,40,65,40,80,40,65
zoroark,dark,,60,105,60,120,60,105
minccino,normal,,55,50,40,40,40,75
cinccino,normal,,75,95,60,65,60,115
gothita,psychic,,45,30,50,55,65,45
gothorita,psychic,,60,45,70,75,85,55
gothitelle,psychic,,70,55,95,95,110,65
solosis,psychic,,45,30,40,105,50,20
duosion,psychic,,65,40,50,125,60,30
reuniclus,psychic,,110,65,75,125,85,30
ducklett,water,flying,62,44,50,44,50,55
swanna,water,flying,75,87,63,87,63,98
vanillite,ice,,36,50,50,65,60,44
vanillish,ice,,51,65,65,80,75,59
vanilluxe,ice,,71,95,85,110,95,79
deerling,normal,grass,60,60,50,40,50,75
sawsbuck,normal,grass,80,100,70,60,70,95
emolga,electric,flying,55,75,60,75,60,103
karrablast,bug,,50,75,45,40,45,60
escavalier,bug,steel,70,135,105,60,105,20
foongus,grass,poison,69,55,45,55,55,15
amoonguss,grass,poison,114,85,70,85,80,30
frillish,water,ghost,55,40,50,65,85,40
jellicent,water,ghost,100,60,70,85,105,60
alomomola,water,,165,75,80,40,45,65
joltik,bug,electric,50,47,50,57,50,65
galvantula,bug,electric,70,77,60,97,60,108
ferroseed,grass,steel,44,50,91,24,86,10
ferrothorn,grass,steel,74,94,131,54,116,20
klink,steel,,40,55,70,45,60,30
klang,steel,,60,80,95,70,85,50
klinklang,steel,,60,100,115,70,85,90
tynamo,electric,,35,55,40,45,40,60
eelektrik,electric,,65,85,70,75,70,40
eelektross,electric,,85,115,80,105,80,50
elgyem,psychic,,55,55,55,85,55,30
beheeyem,psychic,,75,75,75,125,95,40
litwick,ghost,fire,50,30,55,65,55,20
lampent,ghost,fire,60,40,60,95,60,55
chandelure,ghost,fire,60,55,90,145,90,80
axew,dragon,,46,87,60,30,40,57
fraxure,dragon,,66,117,70,40,50,67
haxorus,dragon,,76,147,90,60,70,97
cubchoo,ice,,55,70,40,60,40,40
beartic,ice,,95,130,80,70,80,50
cryogonal,ice,,80,50,50,95,135,105
shelmet,bug,,50,40,85,40,65,25
accelgor,bug,,80,70,40,100,60,145
stunfisk,ground,electric,109,66,84,81,99,32
mienfoo,fighting,,45,85,50,55,50,65
mienshao,fighting,,65,125,60,95,60,105
druddigon,dragon,,77,120,90,60,90,48
golett,ground,ghost,59,74,50,35,50,35
golurk,ground,ghost,89,124,80,55,80,55
pawniard,dark,steel,45,85,70,40,40,60
bisharp,dark,steel,65,125,100,60,70,70
bouffalant,normal,,95,110,95,40,95,55
rufflet,normal,flying,70,83,50,37,50,60
braviary,normal,flying,100,123,75,57,75,80
vullaby,dark,flying,70,55,75,45,65,60
mandibuzz,dark,flying,110,65,105,55,95,80
heatmor,fire,,85,97,66,105,66,65
durant,bug,steel,58,109,112,48,48,109
deino,dark,dragon,52,65,50,45,50,38
zweilous,dark,dragon,72,85,70,65,70,58
hydreigon,dark,dragon,92,105,90,125,90,98
larvesta,bug,fire,55,85,55,50,55,60
volcarona,bug,fire,85,60,65,135,105,100
cobalion,steel,fighting,91,90,129,90,72,108
terrakion,rock,fighting,91,129,90,72,90,108
virizion,grass,fighting,91,90,72,90,129,108
tornadus-incarnate,flying,,79,115,70,125,80,111
thundurus-incarnate,electric,flying,79,115,70,125,80,111
reshiram,dragon,fire,100,120,100,150,120,90
zekrom,dragon,electric,100,150,120,120,100,90
landorus-incarnate,ground,flying,89,125,90,115,80,101
kyurem,dragon,ice,125,130,90,130,90,95
keldeo-ordinary,water,fighting,91,72,90,129,90,108
meloetta-aria,normal,psychic,100,77,77,128,128,90
genesect,bug,steel,71,120,95,120,95,99
chespin,grass,,56,61,65,48,45,38
quilladin,grass,,61,78,95,56,58,57
chesnaught,grass,fighting,88,107,122,74,75,64
fennekin,fire,,40,45,40,62,60,60
braixen,fire,,59,59,58,90,70,73
delphox,fire,psychic,75,69,72,114,100,104
froakie,water,,41,56,40,62,44,71
frogadier,water,,54,63,52,83,56,97
greninja,water,dark,72,95,67,103,71,122
bunnelby,normal,,38,36,38,32,36,57
diggersby,normal,ground,85,56,77,50,77,78
fletchling,normal,flying,45,50,43,40,38,62
fletchinder,fire,flying,62,73,55,56,52,84
talonflame,fire,flying,78,81,71,74,69,126
scatterbug,bug,,38,35,40,27,25,35
spewpa,bug,,45,22,60,27,30,29
vivillon,bug,flying,80,52,50,90,50,89
litleo,fire,normal,62,50,58,73,54,72
pyroar,fire,normal,86,68,72,109,66,106
flabebe,fairy,,44,38,39,61,79,42
floette,fairy,,54,45,47,75,98,52
florges,fairy,,78,65,68,112,154,75
skiddo,grass,,66,65,48,62,57,52
gogoat,grass,,123,100,62,97,81,68
pancham,fighting,,67,82,62,46,48,43
pangoro,fighting,dark,95,124,78,69,71,58
furfrou,normal,,75,80,60,65,90,102
espurr,psychic,,62,48,54,63,60,68
meowstic-male,psychic,,74,48,76,83,81,104
honedge,steel,ghost,45,80,100,35,37,28
doublade,steel,ghost,59,110,150,45,49,35
aegislash-shield,steel,ghost,60,50,140,50,140,60
spritzee,fairy,,78,52,60,63,65,23
aromatisse,fairy,,101,72,72,99,89,29
swirlix,fairy,,62,48,66,59,57,49
slurpuff,fairy,,82,80,86,85,75,72
inkay,dark,psychic,53,54,53,37,46,45
malamar,dark,psychic,86,92,88,68,75,73
binacle,rock,water,42,52,67,39,56,50
barbaracle,rock,water,72,105,115,54,86,68
skrelp,poison,water,50,60,60,60,60,30
dragalge,poison,dragon,65,75,90,97,123,44
clauncher,water,,50,53,62,58,63,44
clawitzer,water,,71,73,88,120,89,59
helioptile,electric,normal,44,38,33,61,43,70
heliolisk,electric,normal,62,55,52,109,94,109
tyrunt,rock,dragon,58,89,77,45,45,48
tyrantrum,rock,dragon,82,121,119,69,59,71
amaura,rock,ice,77,59,50,67,63,46
aurorus,rock,ice,123,77,72,99,92,58
sylveon,fairy,,95,65,65,110,130,60
hawlucha,fighting,flying,78,92,75,74,63,118
dedenne,electric,fairy,67,58,57,81,67,101
carbink,rock,fairy,50,50,150,50,150,50
goomy,dragon,,45,50,35,55,75,40
sliggoo,dragon,,68,75,53,83,113,60
goodra,dragon,,90,100,70,110,150,80
klefki,steel,fairy,57,80,91,80,87,75
phantump,ghost,grass,43,70,48,50,60,38
trevenant,ghost,grass,85,110,76,65,82,56
pumpkaboo-average,ghost,grass,49,66,70,44,55,51
gourgeist-average,ghost,grass,65,90,122,58,75,84
bergmite,ice,,55,69,85,32,35,28
avalugg,ice,,95,117,184,44,46,28
noibat,flying,dragon,40,30,35,45,40,55
noivern,flying,dragon,85,70,80,97,80,123
xerneas,fairy,,126,131,95,131,98,99
yveltal,dark,flying,126,131,95,131,98,99
zygarde-50,dragon,ground,108,100,121,81,95,95
diancie,rock,fairy,50,100,150,100,150,50
hoopa,psychic,ghost,80,110,60,150,130,70
volcanion,fire,water,80,110,120,130,90,70
rowlet,grass,flying,68,55,55,50,50,42
dartrix,grass,flying,78,75,75,70,70,52
decidueye,grass,ghost,78,107,75,100,100,70
litten,fire,,45,65,40,60,40,70
torracat,fire,,65,85,50,80,50,90
incineroar,fire,dark,95,115,90,80,90,60
popplio,water,,50,54,54,66,56,40
brionne,water,,60,69,69,91,81,50
primarina,water,fairy,80,74,74,126,116,60
pikipek,normal,flying,35,75,30,30,30,65
trumbeak,normal,flying,55,85,50,40,50,75
toucannon,normal,flying,80,120,75,75,75,60
yungoos,normal,,48,70,30,30,30,45
gumshoos,normal,,88,110,60,55,60,45
grubbin,bug,,47,62,45,55,45,46
charjabug,bug,electric,57,82,95,55,75,36
vikavolt,bug,electric,77,70,90,145,75,43
crabrawler,fighting,,47,82,57,42,47,63
crabominable,fighting,ice,97,132,77,62,67,43
oricorio-baile,fire,flying,75,70,70,98,70,93
cutiefly,bug,fairy,40,45,40,55,40,84
ribombee,bug,fairy,60,55,60,95,70,124
rockruff,rock,,45,65,40,30,40,60
lycanroc-midday,rock,,75,115,65,55,65,112
wishiwashi-solo,water,,45,20,20,25,25,40
mareanie,poison,water,50,53,62,43,52,45
toxapex,poison,water,50,63,152,53,142,35
mudbray,ground,,70,100,70,45,55,45
mudsdale,ground,,100,125,100,55,85,35
dewpider,water,bug,38,40,52,40,72,27
araquanid,water,bug,68,70,92,50,132,42
fomantis,grass,,40,55,35,50,35,35
lurantis,grass,,70,105,90,80,90,45
morelull,grass,fairy,40,35,55,65,75,15
shiinotic,grass,fairy,60,45,80,90,100,30
salandit,poison,fire,48,44,40,71,40,77
salazzle,poison,fire,68,64,60,111,60,117
stufful,normal,fighting,70,75,50,45,50,50
bewear,normal,fighting,120,125,80,55,60,60
bounsweet,grass,,42,30,38,30,38,32
steenee,grass,,52,40,48,40,48,62
tsareena,grass,,72,120,98,50,98,72
comfey,fairy,,51,52,90,82,110,100
oranguru,normal,psychic,90,60,80,90,110,60
passimian,fighting,,100,120,90,40,60,80
wimpod,bug,water,25,35,40,20,30,80
golisopod,bug,water,75,125,140,60,90,40
sandygast,ghost,ground,55,55,80,70,45,15
palossand,ghost,ground,85,75,110,100,75,35
pyukumuku,water,,55,60,130,30,130,5
type-null,normal,,95,95,95,95,95,59
silvally,normal,,95,95,95,95,95,95
minior-red-meteor,rock,flying,60,60,100,60,100,60
komala,normal,,65,115,65,75,95,65
turtonator,fire,dragon,60,78,135,91,85,36
togedemaru,electric,steel,65,98,63,40,73,96
mimikyu-disguised,ghost,fairy,55,90,80,50,105,96
bruxish,water,psychic,68,105,70,70,70,92
drampa,normal,dragon,78,60,85,135,91,36
dhelmise,ghost,grass,70,131,100,86,90,40
jangmo-o,dragon,,45,55,65,45,45,45
hakamo-o,dragon,fighting,55,75,90,65,70,65
kommo-o,dragon,fighting,75,110,125,100,105,85
tapu-koko,electric,fairy,70,115,85,95,75,130
tapu-lele,psychic,fairy,70,85,75,130,115,95
tapu-bulu,grass,fairy,70,130,115,85,95,75
tapu-fini,water,fairy,70,75,115,95,130,85
cosmog,psychic,,43,29,31,29,31,37
cosmoem,psychic,,43,29,131,29,131,37
solgaleo,psychic,steel,137,137,107,113,89,97
lunala,psychic,ghost,137,113,89,137,107,97
nihilego,rock,poison,109,53,47,127,131,103
buzzwole,bug,fighting,107,139,139,53,53,79
pheromosa,bug,fighting,71,137,37,137,37,151
xurkitree,electric,,83,89,71,173,71,83
celesteela,steel,flying,97,101,103,107,101,61
kartana,grass,steel,59,181,131,59,31,109
guzzlord,dark,dragon,223,101,53,97,53,43
necrozma,psychic,,97,107,101,127,89,79
magearna,steel,fairy,80,95,115,130,115,65
marshadow,fighting,ghost,90,125,80,90,90,125
poipole,poison,,67,73,67,73,67,73
naganadel,poison,dragon,73,73,73,127,73,121
stakataka,rock,steel,61,131,211,53,101,13
blacephalon,fire,ghost,53,127,53,151,79,107
zeraora,electric,,88,112,75,102,80,143
meltan,steel,,46,65,65,55,35,34
melmetal,steel,,135,143,143,80,65,34
grookey,grass,,50,65,50,40,40,65
thwackey,grass,,70,85,70,55,60,80
rillaboom,grass,,100,125,90,60,70,85
scorbunny,fire,,50,71,40,40,40,69
raboot,fire,,65,86,60,55,60,94
cinderace,fire,,80,116,75,65,75,119
sobble,water,,50,40,40,70,40,70
drizzile,water,,65,60,55,95,55,90
inteleon,water,,70,85,65,125,65,120
skwovet,normal,,70,55,55,35,35,25
greedent,normal,,120,95,95,55,75,20
rookidee,flying,,38,47,35,33,35,57
corvisquire,flying,,68,67,55,43,55,77
corviknight,flying,steel,98,87,105,53,85,67
blipbug,bug,,25,20,20,25,45,45
dottler,bug,psychic,50,35,80,50,90,30
orbeetle,bug,psychic,60,45,110,80,120,90
nickit,dark,,40,28,28,47,52,50
thievul,dark,,70,58,58,87,92,90
gossifleur,grass,,40,40,60,40,60,10
eldegoss,grass,,60,50,90,80,120,60
wooloo,normal,,42,40,55,40,45,48
dubwool,normal,,72,80,100,60,90,88
chewtle,water,,50,64,50,38,38,44
drednaw,water,rock,90,115,90,48,68,74
yamper,electric,,59,45,50,40,50,26
boltund,electric,,69,90,60,90,60,121
rolycoly,rock,,30,40,50,40,50,30
carkol,rock,fire,80,60,90,60,70,50
coalossal,rock,fire,110,80,120,80,90,30
applin,grass,dragon,40,40,80,40,40,20
flapple,grass,dragon,70,110,80,95,60,70
appletun,grass,dragon,110,85,80,100,80,30
silicobra,ground,,52,57,75,35,50,46
sandaconda,ground,,72,107,125,65,70,71
cramorant,flying,water,70,85,55,85,95,85
arrokuda,water,,41,63,40,40,30,66
barraskewda,water,,61,123,60,60,50,136
toxel,electric,poison,40,38,35,54,35,40
toxtricity-amped,electric,poison,75,98,70,114,70,75
sizzlipede,fire,bug,50,65,45,50,50,45
centiskorch,fire,bug,100,115,65,90,90,65
clobbopus,fighting,,50,68,60,50,50,32
grapploct,fighting,,80,118,90,70,80,42
sinistea,ghost,,40,45,45,74,54,50
polteageist,ghost,,60,65,65,134,114,70
hatenna,psychic,,42,30,45,56,53,39
hattrem,psychic,,57,40,65,86,73,49
hatterene,psychic,fairy,57,90,95,136,103,29
impidimp,dark,fairy,45,45,30,55,40,50
morgrem,dark,fairy,65,60,45,75,55,70
grimmsnarl,dark,fairy,95,120,65,95,75,60
obstagoon,dark,normal,93,90,101,60,81,95
perrserker,steel,,70,110,100,50,60,50
cursola,ghost,,60,95,50,145,130,30
sirfetchd,fighting,,62,135,95,68,82,65
mr-rime,ice,psychic,80,85,75,110,100,70
runerigus,ground,ghost,58,95,145,50,105,30
milcery,fairy,,45,40,40,50,61,34
alcremie,fairy,,65,60,75,110,121,64
falinks,fighting,,65,100,100,70,60,75
pincurchin,electric,,48,101,95,91,85,15
snom,ice,bug,30,25,35,45,30,20
frosmoth,ice,bug,70,65,60,125,90,65
stonjourner,rock,,100,125,135,20,20,70
eiscue-ice,ice,,75,80,110,65,90,50
indeedee-male,psychic,normal,60,65,55,105,95,95
morpeko-full-belly,electric,dark,58,95,58,70,58,97
cufant,steel,,72,80,49,40,49,40
copperajah,steel,,122,130,69,80,69,30
dracozolt,electric,dragon,90,100,90,80,70,75
arctozolt,electric,ice,90,100,90,90,80,55
dracovish,water,dragon,90,90,100,70,80,75
arctovish,water,ice,90,90,100,80,90,55
duraludon,steel,dragon,70,95,115,120,50,85
dreepy,dragon,ghost,28,60,30,40,30,82
drakloak,dragon,ghost,68,80,50,60,50,102
dragapult,dragon,ghost,88,120,75,100,75,142
zacian,fairy,,92,120,115,80,115,138
zamazenta,fighting,,92,120,115,80,115,138
eternatus,poison,dragon,140,85,95,145,95,130
kubfu,fighting,,60,90,60,53,50,72
urshifu-single-strike,fighting,dark,100,130,100,63,60,97
zarude,dark,grass,105,120,105,70,95,105
regieleki,electric,,80,100,50,100,50,200
regidrago,dragon,,200,100,50,100,50,80
glastrier,ice,,100,145,130,65,110,30
spectrier,ghost,,100,65,60,145,80,130
calyrex,psychic,grass,100,80,80,80,80,80
wyrdeer,normal,psychic,103,105,72,105,75,65
kleavor,bug,rock,70,135,95,45,70,85
ursaluna,ground,normal,130,140,105,45,80,50
basculegion-male,water,ghost,120,112,65,80,75,78
sneasler,fighting,poison,80,130,60,40,80,120
overqwil,dark,poison,85,115,95,65,65,85
enamorus-incarnate,fairy,flying,74,115,70,135,80,106
sprigatito,grass,,40,61,54,45,45,65
floragato,grass,,61,80,63,60,63,83
meowscarada,grass,dark,76,110,70,81,70,123
fuecoco,fire,,67,45,59,63,40,36
crocalor,fire,,81,55,78,90,58,49
skeledirge,fire,ghost,104,75,100,110,75,66
quaxly,water,,55,65,45,50,45,50
quaxwell,water,,70,85,65,65,60,65
quaquaval,water,fighting,85,120,80,85,75,85
lechonk,normal,,54,45,40,35,45,35
oinkologne,normal,,110,100,75,59,80,65
tarountula,bug,,35,41,45,29,40,20
spidops,bug,,60,79,92,52,86,35
nymble,bug,,33,46,40,21,25,45
lokix,bug,dark,71,102,78,52,55,92
pawmi,electric,,45,50,20,40,25,60
pawmo,electric,fighting,60,75,40,50,40,85
pawmot,electric,fighting,70,115,70,70,60,105
tandemaus,normal,,50,50,45,40,45,75
maushold,normal,,74,75,70,65,75,111
fidough,fairy,,37,55,70,30,55,65
dachsbun,fairy,,57,80,115,50,80,95
smoliv,grass,normal,41,35,45,58,51,30
dolliv,grass,normal,52,53,60,78,78,33
arboliva,grass,normal,78,69,90,125,109,39
squawkabilly,normal,flying,82,96,51,45,51,92
nacli,rock,,55,55,75,35,35,25
naclstack,rock,,60,60,100,35,65,35
garganacl,rock,,100,100,130,45,90,35
charcadet,fire,,40,50,40,50,40,35
armarouge,fire,psychic,85,60,100,125,80,75
ceruledge,fire,ghost,75,125,80,60,100,85
tadbulb,electric,,61,31,41,59,35,45
bellibolt,electric,,109,64,91,103,83,45
wattrel,electric,flying,40,40,35,55,40,70
kilowattrel,electric,flying,70,70,60,105,60,125
maschiff,dark,,60,78,60,40,51,51
mabosstiff,dark,,80,120,90,60,70,85
shroodle,poison,normal,40,65,35,40,35,75
grafaiai,poison,normal,63,95,65,80,72,110
bramblin,grass,ghost,40,65,30,45,35,60
brambleghast,grass,ghost,55,115,70,80,70,90
toedscool,ground,grass,40,40,35,50,100,70
toedscruel,ground,grass,80,70,65,80,120,100
klawf,rock,,70,100,115,35,55,75
capsakid,grass,,50,62,40,62,40,50
scovillain,grass,fire,65,108,65,108,65,75
rellor,bug,,41,50,60,31,58,30
rabsca,bug,psychic,75,50,85,115,100,45
flittle,psychic,,30,35,30,55,30,75
espathra,psychic,,95,60,60,101,60,105
tinkatink,fairy,steel,50,45,45,35,64,58
tinkatuff,fairy,steel,65,55,55,45,82,78
tinkaton,fairy,steel,85,75,77,70,105,94
wiglett,water,,10,55,25,35,25,95
wugtrio,water,,35,100,50,50,70,120
bombirdier,flying,dark,70,103,85,60,85,82
finizen,water,,70,45,40,45,40,75
palafin,water,,100,70,72,53,62,100
varoom,steel,poison,45,70,63,30,45,47
revavroom,steel,poison,80,119,90,54,67,90
cyclizar,dragon,normal,70,95,65,85,65,121
orthworm,steel,,70,85,145,60,55,65
glimmet,rock,poison,48,35,42,105,60,60
glimmora,rock,poison,83,55,90,130,81,86
greavard,ghost,,50,61,60,30,55,34
houndstone,ghost,,72,101,100,50,97,68
flamigo,flying,fighting,82,115,74,75,64,90
cetoddle,ice,,108,68,45,30,40,43
cetitan,ice,,170,113,65,45,55,73
veluza,water,psychic,90,102,73,78,65,70
dondozo,water,,150,100,115,65,65,35
tatsugiri,dragon,water,68,50,60,120,95,82
annihilape,fighting,ghost,110,115,80,50,90,90
clodsire,poison,ground,130,75,60,45,100,20
farigiraf,normal,psychic,120,90,70,110,70,60
dudunsparce,normal,,125,100,80,85,75,55
kingambit,dark,steel,100,135,120,60,85,50
great-tusk,ground,fighting,115,131,131,53,53,87
scream-tail,fairy,psychic,115,65,99,65,115,111
brute-bonnet,grass,dark,111,127,99,79,99,55
flutter-mane,ghost,fairy,55,55,55,135,135,135
slither-wing,bug,fighting,85,135,79,85,105,81
sandy-shocks,electric,ground,85,81,97,121,85,101
iron-treads,ground,steel,90,112,120,72,70,106
iron-bundle,ice,water,56,80,114,124,60,136
iron-hands,fighting,electric,154,140,108,50,68,50
iron-jugulis,dark,flying,94,80,86,122,80,108
iron-moth,fire,poison,80,70,60,140,110,110
iron-thorns,rock,electric,100,134,110,70,84,72
frigibax,dragon,ice,65,75,45,35,45,55
arctibax,dragon,ice,90,95,66,45,65,62
baxcalibur,dragon,ice,115,145,92,75,86,87
gimmighoul,ghost,,45,30,70,75,70,10
gholdengo,steel,ghost,87,60,95,133,91,84
wo-chien,dark,grass,85,85,100,95,135,70
chien-pao,dark,ice,80,120,80,90,65,135
ting-lu,dark,ground,155,110,125,55,80,45
chi-yu,dark,fire,55,80,80,135,120,100
roaring-moon,dragon,dark,105,139,71,55,101,119
iron-valiant,fairy,fighting,74,130,90,120,60,116
koraidon,fighting,dragon,100,135,115,85,100,135
miraidon,electric,dragon,100,85,100,135,115,135
walking-wake,water,dragon,99,83,91,125,83,109
iron-leaves,grass,psychic,90,130,88,70,108,104
